lat,lon,ts
47.56038,-122.09074,2018-06-07 00:53:31.000
47.55794,-122.08582,2018-06-07 00:53:47.000
47.55653,-122.08223,2018-06-07 00:54:03.000
47.55642,-122.082,2018-06-07 00:54:18.000
47.55634,-122.08174,2018-06-07 00:54:21.000
47.55516,-122.07876,2018-06-07 00:54:41.000
47.55411,-122.07605,2018-06-07 00:54:57.000
47.55317,-122.07354,2018-06-07 00:55:13.000
47.55251,-122.07167,2018-06-07 00:55:28.000
47.55239,-122.07135,2018-06-07 00:55:31.000
47.55109,-122.068,2018-06-07 00:55:51.000
47.54978,-122.06465,2018-06-07 00:56:07.000
47.54825,-122.06077,2018-06-07 00:56:23.000
47.5473,-122.0582,2018-06-07 00:56:39.000
47.5472,-122.05793,2018-06-07 00:56:41.000
47.54566,-122.05352,2018-06-07 00:57:11.000
47.54526,-122.04992,2018-06-07 00:57:27.000
47.5448,-122.04619,2018-06-07 00:57:42.000
47.54333,-122.04192,2018-06-07 00:57:58.000
47.54115,-122.03759,2018-06-07 00:58:14.000
47.53982,-122.03539,2018-06-07 00:58:22.000
47.53775,-122.03327,2018-06-07 00:58:31.000
47.53394,-122.03002,2018-06-07 00:58:47.000
47.53246,-122.01942,2018-06-07 00:59:17.000
47.53333,-122.01807,2018-06-07 00:59:21.000
47.5364,-122.01106,2018-06-07 00:59:41.000
47.5365,-122.01068,2018-06-07 00:59:42.000
47.53547,-122.00443,2018-06-07 00:59:57.000
47.53285,-121.99856,2018-06-07 01:00:13.000
47.53131,-121.9919,2018-06-07 01:00:29.000
47.53112,-121.99066,2018-06-07 01:00:32.000
47.5308,-121.9827,2018-06-07 01:00:51.000
47.53243,-121.97703,2018-06-07 01:01:06.000
47.53566,-121.97224,2018-06-07 01:01:22.000
47.53501,-121.9662,2018-06-07 01:01:37.000
47.53448,-121.96468,2018-06-07 01:01:41.000
47.53271,-121.95658,2018-06-07 01:02:01.000
47.53101,-121.94384,2018-06-07 01:02:32.000
47.52777,-121.94013,2018-06-07 01:02:48.000
47.52707,-121.93961,2018-06-07 01:02:51.000
47.52239,-121.93553,2018-06-07 01:03:11.000
47.52021,-121.92945,2018-06-07 01:03:27.000
47.51754,-121.92307,2018-06-07 01:03:43.000
47.51567,-121.91916,2018-06-07 01:03:54.000
47.51154,-121.91144,2018-06-07 01:04:31.000
47.51142,-121.91127,2018-06-07 01:04:46.000
47.51075,-121.91019,2018-06-07 01:05:01.000
47.50979,-121.9089,2018-06-07 01:05:17.000
47.50976,-121.90886,2018-06-07 01:05:21.000
47.50961,-121.90866,2018-06-07 01:05:41.000
47.50954,-121.90854,2018-06-07 01:05:57.000
47.50943,-121.90843,2018-06-07 01:06:12.000
47.50933,-121.90815,2018-06-07 01:06:28.000
47.50924,-121.908,2018-06-07 01:06:31.000
47.5083,-121.90682,2018-06-07 01:06:51.000
47.50772,-121.90599,2018-06-07 01:07:06.000
47.50689,-121.90434,2018-06-07 01:07:22.000
47.50595,-121.89956,2018-06-07 01:07:38.000
47.50663,-121.89371,2018-06-07 01:07:54.000
47.50668,-121.89332,2018-06-07 01:07:55.000
47.50701,-121.89118,2018-06-07 01:08:01.000
47.5079,-121.88586,2018-06-07 01:08:16.000
47.50899,-121.87952,2018-06-07 01:08:31.000
47.51009,-121.87324,2018-06-07 01:08:46.000
47.5104,-121.87115,2018-06-07 01:08:51.000
47.51116,-121.86229,2018-06-07 01:09:11.000
47.51132,-121.85479,2018-06-07 01:09:27.000
47.513,-121.8485,2018-06-07 01:09:42.000
47.51464,-121.84155,2018-06-07 01:09:58.000
47.51455,-121.84009,2018-06-07 01:10:01.000
47.50876,-121.8294,2018-06-07 01:10:31.000
47.50492,-121.82505,2018-06-07 01:10:47.000
47.50138,-121.82098,2018-06-07 01:11:02.000
47.49772,-121.81651,2018-06-07 01:11:18.000
47.49705,-121.81574,2018-06-07 01:11:21.000
47.49355,-121.8092,2018-06-07 01:11:41.000
47.49146,-121.80278,2018-06-07 01:11:57.000
47.48852,-121.79707,2018-06-07 01:12:13.000
47.48443,-121.79284,2018-06-07 01:12:29.000
47.48043,-121.78877,2018-06-07 01:12:44.000
47.47856,-121.78692,2018-06-07 01:12:51.000
47.47462,-121.78236,2018-06-07 01:13:07.000
47.47317,-121.77606,2018-06-07 01:13:22.000
47.4732,-121.76838,2018-06-07 01:13:38.000
47.47315,-121.76691,2018-06-07 01:13:41.000
47.47321,-121.75762,2018-06-07 01:14:00.682
47.47321,-121.75762,2018-06-07 01:14:01.000
47.47319,-121.75051,2018-06-07 01:14:17.000
47.47322,-121.7438,2018-06-07 01:14:33.000
47.47201,-121.73752,2018-06-07 01:14:48.000
47.47161,-121.73623,2018-06-07 01:14:51.000
47.46756,-121.72431,2018-06-07 01:15:21.000
47.46603,-121.7206,2018-06-07 01:15:37.000
47.46463,-121.71822,2018-06-07 01:15:52.000
47.46397,-121.71637,2018-06-07 01:16:08.000
47.46391,-121.71623,2018-06-07 01:16:11.000
47.45938,-121.71629,2018-06-07 01:16:41.000
47.45658,-121.71619,2018-06-07 01:16:57.000
47.45544,-121.71559,2018-06-07 01:17:13.000
47.45533,-121.71195,2018-06-07 01:17:28.000
47.45528,-121.71119,2018-06-07 01:17:31.000
47.45446,-121.70643,2018-06-07 01:18:01.000
47.45432,-121.70632,2018-06-07 01:18:02.000
47.45295,-121.70535,2018-06-07 01:18:21.000
47.45295,-121.70535,2018-06-07 01:18:43.738
47.45287,-121.70542,2018-06-07 01:21:03.165
47.46644,-121.74486,2018-06-07 01:23:03.198
47.46644,-121.74486,2018-06-07 01:25:04.502
47.47211,-121.75074,2018-06-07 01:27:05.552
47.45275,-121.7052,2018-06-07 01:29:06.618
47.45275,-121.7052,2018-06-07 01:31:07.600
47.45275,-121.7052,2018-06-07 01:33:08.688
47.45275,-121.7052,2018-06-07 01:35:57.422
47.45275,-121.7052,2018-06-07 01:38:08.428
47.45275,-121.7052,2018-06-07 01:41:03.157
47.45275,-121.7052,2018-06-07 01:43:26.463
47.45275,-121.7052,2018-06-07 01:45:27.513
47.45275,-121.7052,2018-06-07 01:47:37.185
47.45275,-121.7052,2018-06-07 01:49:42.566
47.45275,-121.7052,2018-06-07 01:51:43.505
47.44892,-121.7039,2018-06-07 01:52:25.000
47.44892,-121.7039,2018-06-07 01:53:55.309
47.44892,-121.7039,2018-06-07 01:59:28.939
47.44895,-121.7042,2018-06-07 01:59:50.382
47.44895,-121.7042,2018-06-07 02:02:05.420
47.44895,-121.7042,2018-06-07 02:04:06.347
47.44895,-121.7042,2018-06-07 02:06:07.422
47.45036,-121.71206,2018-06-07 02:08:18.344
47.45036,-121.71206,2018-06-07 02:10:28.427
47.44612,-121.69162,2018-06-07 02:12:30.732
47.45036,-121.71206,2018-06-07 02:14:33.841
47.45036,-121.71206,2018-06-07 02:16:37.357
47.45036,-121.71206,2018-06-07 02:18:37.373
47.45036,-121.71206,2018-06-07 02:20:19.109
47.45036,-121.71206,2018-06-07 02:20:41.442
47.45036,-121.71206,2018-06-07 02:22:42.417
47.45036,-121.71206,2018-06-07 02:24:43.444
47.45036,-121.71206,2018-06-07 02:26:44.481
47.45036,-121.71206,2018-06-07 02:28:45.335
47.45036,-121.71206,2018-06-07 02:32:12.190
47.44596,-121.69816,2018-06-07 02:32:32.214
47.44574,-121.69833,2018-06-07 02:32:52.214
47.44574,-121.69833,2018-06-07 02:33:12.223
47.44601,-121.69837,2018-06-07 02:33:36.084
47.44517,-121.69875,2018-06-07 02:33:56.100
47.44517,-121.69875,2018-06-07 02:34:16.105
47.44572,-121.69853,2018-06-07 02:34:42.178
47.44574,-121.69836,2018-06-07 02:35:03.163
47.45036,-121.71206,2018-06-07 02:35:32.834
47.44535,-121.69837,2018-06-07 02:35:52.834
47.45036,-121.71206,2018-06-07 02:36:12.837
47.44565,-121.69817,2018-06-07 02:36:30.000
47.44556,-121.6982,2018-06-07 02:36:50.000
47.44554,-121.69821,2018-06-07 02:37:14.134
47.44561,-121.69834,2018-06-07 02:37:34.138
47.45036,-121.71206,2018-06-07 02:37:54.142
47.44571,-121.6983,2018-06-07 02:38:14.718
47.4456,-121.69836,2018-06-07 02:38:34.707
47.4456,-121.69836,2018-06-07 02:39:03.159
47.47211,-121.75074,2018-06-07 02:41:04.438
47.46644,-121.74486,2018-06-07 02:43:50.024
47.44522,-121.69746,2018-06-07 02:44:10.718
47.44572,-121.69671,2018-06-07 02:44:30.730
47.44572,-121.69671,2018-06-07 02:45:48.285
47.44519,-121.6974,2018-06-07 02:46:08.286
47.44519,-121.6974,2018-06-07 02:46:28.295
47.44519,-121.69773,2018-06-07 02:46:48.463
47.44519,-121.69773,2018-06-07 02:47:08.474
47.44489,-121.69784,2018-06-07 02:47:28.476
47.44491,-121.69756,2018-06-07 02:47:57.341
47.44493,-121.69775,2018-06-07 02:48:18.648
47.44547,-121.69689,2018-06-07 02:48:38.616
47.44528,-121.69752,2018-06-07 02:48:58.619
47.44528,-121.69752,2018-06-07 02:50:14.149
